Host,Port,State
10.0.5.2 ,22,closed
10.0.5.2 ,80,closed
10.0.5.2 ,443,closed
10.0.5.2 ,8080,closed
10.0.5.2 ,139,closed
10.0.5.2 ,445,closed
10.0.5.2 ,3389,closed
10.0.5.21 ,22,closed
10.0.5.21 ,80,closed
10.0.5.21 ,443,closed
10.0.5.21 ,8080,closed
10.0.5.21 ,139,closed
10.0.5.21 ,445,closed
10.0.5.21 ,3389,closed
10.0.5.22 ,22,closed
10.0.5.22 ,80,closed
10.0.5.22 ,443,closed
10.0.5.22 ,8080,closed
10.0.5.22 ,139,closed
10.0.5.22 ,445,closed
10.0.5.22 ,3389,closed
10.0.5.23 ,22,closed
10.0.5.23 ,80,closed
10.0.5.23 ,443,closed
10.0.5.23 ,8080,closed
10.0.5.23 ,139,closed
10.0.5.23 ,445,closed
10.0.5.23 ,3389,closed
10.0.5.24 ,22,closed
10.0.5.24 ,80,closed
10.0.5.24 ,443,closed
10.0.5.24 ,8080,closed
10.0.5.24 ,139,closed
10.0.5.24 ,445,closed
10.0.5.24 ,3389,closed
10.0.5.25 ,22,closed
10.0.5.25 ,80,closed
10.0.5.25 ,443,closed
10.0.5.25 ,8080,closed
10.0.5.25 ,139,closed
10.0.5.25 ,445,closed
10.0.5.25 ,3389,closed
10.0.5.26 ,22,closed
10.0.5.26 ,80,closed
10.0.5.26 ,443,closed
10.0.5.26 ,8080,closed
10.0.5.26 ,139,closed
10.0.5.26 ,445,closed
10.0.5.26 ,3389,closed
10.0.5.27 ,22,closed
10.0.5.27 ,80,closed
10.0.5.27 ,443,closed
10.0.5.27 ,8080,closed
10.0.5.27 ,139,closed
10.0.5.27 ,445,closed
10.0.5.27 ,3389,closed
10.0.5.28 ,22,closed
10.0.5.28 ,80,closed
10.0.5.28 ,443,closed
10.0.5.28 ,8080,closed
10.0.5.28 ,139,closed
10.0.5.28 ,445,closed
10.0.5.28 ,3389,closed
10.0.5.32 ,22,closed
10.0.5.32 ,80,closed
10.0.5.32 ,443,closed
10.0.5.32 ,8080,closed
10.0.5.32 ,139,closed
10.0.5.32 ,445,closed
10.0.5.32 ,3389,closed
